Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1386 (333)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,61
"proteina, total",10,g,61
agua (humedad),13,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",3.5,g,61
carbohidratos,71.5,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.3,mg,61
"folato, total",24,ug,61
"equivalentes de niacina, totales",0.6,mg,61
riboflavina,0.05,mg,61
tiamina,0.1,mg,61
Vitamina B-12,traza,ug,61
"Vitamina B-6, Total",0.2,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,16,mg,61
"hierro, total",1.2,mg,61
potasio,135,mg,61
magnesio,20,mg,61
sodio,3,mg,61
fósforo,120,mg,61
ioduro,10,ug,280
"selenio, total",7,ug,280
zinc (cinc),0.6,mg,61
